Ansible Automation Platform Node Metrics Report
AAP Instance: https://aap.example.com
Generated: 2026-01-21 21:46:54 UTC

Organization Node and Subscription Metrics

Organization,Max Nodes,Unique Nodes,Unique Nodes %,Shared Nodes,Shared Nodes %,Unique Subscriptions,Unique Subscriptions %,Shared Subscriptions,Shared Subscriptions %
Default,20,4,44.4,1,100.0,3,37.5,1,100.0
DEMOLab,Unlimited,4,44.4,1,100.0,4,50.0,1,100.0
Orphaned Nodes (No Organization),,1,11.1,,,1,12.5,,
TOTAL,,9,,1,,8,,1,

Node Details by Organization

Node,Subscription,Organizations
db,Yes,"DEMOLab"
en,Yes,"DEMOLab"
gw,Yes,"DEMOLab"
localhost,Yes,"DEMOLab"
rhel-demo-01,Yes,"Default"
rhel-demo-02,Yes,"Default"
rhel-demo-03,Yes,"Default"
windows2025-demo,Yes,"Default, DEMOLab"
windows2025-demo-02,No,"Default"
windows2025-test,Yes,"None"
