Ansible Automation Platform Node Metrics Report
AAP Instance: https://aap.example.com
Generated: 2026-02-20 14:39:30 UTC

================================================================================
Subscription Details
================================================================================

Field                              | Value                                             
-----------------------------------+ --------------------------------------------------
Status                             | Out of compliance — You have automated against more hosts than your subscription allows.
Subscription type                  | redacted
Subscription (SKU)                 | redacted
Trial                              | False
Hosts remaining                    | 0
Hosts imported                     | 983
Hosts automated                    | 800 since 10/14/2025, 05:16:13 PM
Hosts deleted                      | 0
Active hosts previously deleted    | 1
Expires on                         | 01/01/2027, 04:59:59 AM
Expires on UTC                     | 01/01/2027, 04:59:59 AM UTC
Days remaining                     | 314
Automation controller version      | 4.5.30

================================================================================
Organization Node and Subscription Metrics
================================================================================

Organization Name                       | Max Nodes         | Unique Nodes      | Shared Nodes      | Unique Subs       | Shared Subs       
----------------------------------------+ ------------------+ ------------------+ ------------------+ ------------------+ ------------------
Default                                 | Unlimited         | 0 (0.0%)          | 1 (2.0%)          | 0 (0.0%)          | 1 (2.0%)          
DEMO ORG 01                             | Unlimited         | 0 (0.0%)          | 0 (0.0%)          | 0 (0.0%)          | 0 (0.0%)          
DEMO ORG 02                             | Unlimited         | 0 (0.0%)          | 0 (0.0%)          | 0 (0.0%)          | 0 (0.0%)          
DEMOLab                                 | Unlimited         | 0 (0.0%)          | 1 (2.0%)          | 0 (0.0%)          | 1 (2.0%)          
DUMMY_ORG01                             | 20                | 20 (2.1%)         | 4 (7.8%)          | 15 (2.0%)         | 4 (8.0%)          
DUMMY_ORG02                             | Unlimited         | 27 (2.9%)         | 3 (5.9%)          | 23 (3.1%)         | 3 (6.0%)          
DUMMY_ORG03                             | Unlimited         | 17 (1.8%)         | 4 (7.8%)          | 12 (1.6%)         | 3 (6.0%)          
DUMMY_ORG04                             | Unlimited         | 17 (1.8%)         | 5 (9.8%)          | 13 (1.7%)         | 5 (10.0%)         
DUMMY_ORG05                             | Unlimited         | 22 (2.3%)         | 5 (9.8%)          | 18 (2.4%)         | 5 (10.0%)         
DUMMY_ORG06                             | Unlimited         | 28 (3.0%)         | 3 (5.9%)          | 23 (3.1%)         | 3 (6.0%)          
DUMMY_ORG07                             | Unlimited         | 30 (3.2%)         | 0 (0.0%)          | 22 (2.9%)         | 0 (0.0%)          
DUMMY_ORG08                             | Unlimited         | 21 (2.2%)         | 4 (7.8%)          | 19 (2.5%)         | 4 (8.0%)          
DUMMY_ORG09                             | Unlimited         | 27 (2.9%)         | 2 (3.9%)          | 23 (3.1%)         | 2 (4.0%)          
DUMMY_ORG10                             | Unlimited         | 30 (3.2%)         | 4 (7.8%)          | 24 (3.2%)         | 4 (8.0%)          
DUMMY_ORG11                             | Unlimited         | 17 (1.8%)         | 5 (9.8%)          | 15 (2.0%)         | 5 (10.0%)         
DUMMY_ORG12                             | Unlimited         | 20 (2.1%)         | 1 (2.0%)          | 15 (2.0%)         | 1 (2.0%)          
DUMMY_ORG13                             | Unlimited         | 20 (2.1%)         | 3 (5.9%)          | 17 (2.3%)         | 3 (6.0%)          
DUMMY_ORG14                             | Unlimited         | 27 (2.9%)         | 3 (5.9%)          | 21 (2.8%)         | 3 (6.0%)          
DUMMY_ORG15                             | Unlimited         | 26 (2.7%)         | 2 (3.9%)          | 21 (2.8%)         | 2 (4.0%)          
DUMMY_ORG16                             | Unlimited         | 20 (2.1%)         | 5 (9.8%)          | 15 (2.0%)         | 4 (8.0%)          
DUMMY_ORG17                             | Unlimited         | 29 (3.1%)         | 1 (2.0%)          | 24 (3.2%)         | 1 (2.0%)          
DUMMY_ORG18                             | Unlimited         | 28 (3.0%)         | 4 (7.8%)          | 25 (3.3%)         | 4 (8.0%)          
DUMMY_ORG19                             | Unlimited         | 26 (2.7%)         | 1 (2.0%)          | 22 (2.9%)         | 1 (2.0%)          
DUMMY_ORG20                             | Unlimited         | 21 (2.2%)         | 0 (0.0%)          | 18 (2.4%)         | 0 (0.0%)          
DUMMY_ORG21                             | Unlimited         | 20 (2.1%)         | 5 (9.8%)          | 16 (2.1%)         | 5 (10.0%)         
DUMMY_ORG22                             | Unlimited         | 10 (1.1%)         | 3 (5.9%)          | 7 (0.9%)          | 3 (6.0%)          
DUMMY_ORG23                             | Unlimited         | 15 (1.6%)         | 3 (5.9%)          | 12 (1.6%)         | 3 (6.0%)          
DUMMY_ORG24                             | Unlimited         | 25 (2.6%)         | 3 (5.9%)          | 23 (3.1%)         | 3 (6.0%)          
DUMMY_ORG25                             | Unlimited         | 25 (2.6%)         | 2 (3.9%)          | 20 (2.7%)         | 2 (4.0%)          
DUMMY_ORG26                             | Unlimited         | 26 (2.7%)         | 5 (9.8%)          | 24 (3.2%)         | 5 (10.0%)         
DUMMY_ORG27                             | Unlimited         | 24 (2.5%)         | 2 (3.9%)          | 17 (2.3%)         | 2 (4.0%)          
DUMMY_ORG28                             | Unlimited         | 29 (3.1%)         | 5 (9.8%)          | 23 (3.1%)         | 5 (10.0%)         
DUMMY_ORG29                             | Unlimited         | 18 (1.9%)         | 5 (9.8%)          | 13 (1.7%)         | 5 (10.0%)         
DUMMY_ORG30                             | Unlimited         | 23 (2.4%)         | 3 (5.9%)          | 15 (2.0%)         | 3 (6.0%)          
DUMMY_ORG31                             | Unlimited         | 24 (2.5%)         | 1 (2.0%)          | 18 (2.4%)         | 1 (2.0%)          
DUMMY_ORG32                             | Unlimited         | 29 (3.1%)         | 4 (7.8%)          | 20 (2.7%)         | 4 (8.0%)          
DUMMY_ORG33                             | Unlimited         | 33 (3.5%)         | 2 (3.9%)          | 26 (3.5%)         | 2 (4.0%)          
DUMMY_ORG34                             | Unlimited         | 22 (2.3%)         | 5 (9.8%)          | 20 (2.7%)         | 5 (10.0%)         
DUMMY_ORG35                             | Unlimited         | 20 (2.1%)         | 3 (5.9%)          | 15 (2.0%)         | 3 (6.0%)          
DUMMY_ORG36                             | Unlimited         | 19 (2.0%)         | 1 (2.0%)          | 15 (2.0%)         | 1 (2.0%)          
DUMMY_ORG37                             | Unlimited         | 25 (2.6%)         | 3 (5.9%)          | 14 (1.9%)         | 3 (6.0%)          
DUMMY_ORG38                             | Unlimited         | 25 (2.6%)         | 1 (2.0%)          | 20 (2.7%)         | 1 (2.0%)          
DUMMY_ORG39                             | Unlimited         | 21 (2.2%)         | 3 (5.9%)          | 16 (2.1%)         | 3 (6.0%)          
DUMMY_ORG40                             | Unlimited         | 26 (2.7%)         | 7 (13.7%)         | 17 (2.3%)         | 7 (14.0%)         
Orphaned Nodes (No Organization)        | N/A               | 14 (1.5%)         | N/A               | 14 (1.9%)         | N/A               
**TOTAL**                               | N/A               | 946               | 51                | 750               | 50                

================================================================================
Node Details by Organization
================================================================================

Nodes that have at least one organization, with subscription consumption status (Subscription column: "Yes (consuming)" or "No (not consuming)") and organization membership (comma-separated list of organizations).

Node Name                | Subscription                  | Organizations                                     | Last Automation             | Auto Cnt| Del Cnt 
-------------------------+ ------------------------------+ --------------------------------------------------+ ----------------------------+ --------+ --------
host0                    | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host10                   | Yes (consuming)               | DUMMY_ORG22                                       | 2026-02-19                  | 1       |         
host100                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host101                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host102                  | No (not consuming)            | DUMMY_ORG02                                       |                             |         |         
host103                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host105                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host106                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host108                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host109                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host11                   | Yes (consuming)               | DUMMY_ORG37                                       | 2026-02-19                  | 1       |         
host110                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host111                  | Yes (consuming)               | DUMMY_ORG35                                       | 2026-02-19                  | 1       |         
host112                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host113                  | No (not consuming)            | DUMMY_ORG09                                       |                             |         |         
host114                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host115                  | No (not consuming)            | DUMMY_ORG19                                       |                             |         |         
host116                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host118                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host119                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host12                   | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host120                  | Yes (consuming)               | DUMMY_ORG14                                       | 2026-02-19                  | 1       |         
host121                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host123                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host124                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host125                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host127                  | Yes (consuming)               | DUMMY_ORG19                                       | 2026-02-19                  | 1       |         
host128                  | Yes (consuming)               | DUMMY_ORG37                                       | 2026-02-19                  | 1       |         
host129                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host13                   | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host131                  | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host132                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host133                  | Yes (consuming)               | DUMMY_ORG19                                       | 2026-02-19                  | 1       |         
host134                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host135                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host136                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host138                  | Yes (consuming)               | DUMMY_ORG13                                       | 2026-02-19                  | 1       |         
host139                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host14                   | Yes (consuming)               | DUMMY_ORG29                                       | 2026-02-19                  | 1       |         
host140                  | No (not consuming)            | DUMMY_ORG37                                       |                             |         |         
host142                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host143                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host144                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host145                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host146                  | No (not consuming)            | DUMMY_ORG36                                       |                             |         |         
host147                  | Yes (consuming)               | DUMMY_ORG08                                       | 2026-02-19                  | 1       |         
host148                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host149                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host15                   | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host150                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host152                  | Yes (consuming)               | DUMMY_ORG38                                       | 2026-02-19                  | 1       |         
host153                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host154                  | Yes (consuming)               | DUMMY_ORG38                                       | 2026-02-19                  | 1       |         
host156                  | No (not consuming)            | DUMMY_ORG27                                       |                             |         |         
host157                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host158                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host159                  | Yes (consuming)               | DUMMY_ORG12                                       | 2026-02-19                  | 1       |         
host16                   | Yes (consuming)               | DUMMY_ORG38                                       | 2026-02-19                  | 1       |         
host160                  | No (not consuming)            | DUMMY_ORG32                                       |                             |         |         
host161                  | Yes (consuming)               | DUMMY_ORG08                                       | 2026-02-19                  | 1       |         
host162                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host163                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host164                  | Yes (consuming)               | DUMMY_ORG02                                       | 2026-02-19                  | 1       |         
host165                  | Yes (consuming)               | DUMMY_ORG02                                       | 2026-02-19                  | 1       |         
host166                  | Yes (consuming)               | DUMMY_ORG16                                       | 2026-02-19                  | 1       |         
host168                  | Yes (consuming)               | DUMMY_ORG27                                       | 2026-02-19                  | 1       |         
host169                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host17                   | No (not consuming)            | DUMMY_ORG31                                       |                             |         |         
host170                  | Yes (consuming)               | DUMMY_ORG05                                       | 2026-02-19                  | 1       |         
host171                  | Yes (consuming)               | DUMMY_ORG29                                       | 2026-02-19                  | 1       |         
host172                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host173                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host174                  | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host175                  | No (not consuming)            | DUMMY_ORG19                                       |                             |         |         
host176                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host177                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host179                  | Yes (consuming)               | DUMMY_ORG16                                       | 2026-02-19                  | 1       |         
host18                   | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host180                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host181                  | Yes (consuming)               | DUMMY_ORG27                                       | 2026-02-19                  | 1       |         
host182                  | No (not consuming)            | DUMMY_ORG27                                       |                             |         |         
host183                  | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host184                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host185                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host186                  | Yes (consuming)               | DUMMY_ORG19                                       | 2026-02-19                  | 1       |         
host187                  | No (not consuming)            | DUMMY_ORG33                                       |                             |         |         
host188                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host19                   | Yes (consuming)               | DUMMY_ORG14                                       | 2026-02-19                  | 1       |         
host191                  | Yes (consuming)               | DUMMY_ORG11                                       | 2026-02-19                  | 1       |         
host192                  | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host193                  | No (not consuming)            | DUMMY_ORG19                                       |                             |         |         
host195                  | No (not consuming)            | DUMMY_ORG04                                       |                             |         |         
host196                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host197                  | Yes (consuming)               | DUMMY_ORG39                                       | 2026-02-19                  | 1       |         
host198                  | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host199                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host2                    | Yes (consuming)               | DUMMY_ORG05                                       | 2026-02-19                  | 1       |         
host20                   | No (not consuming)            | DUMMY_ORG30                                       |                             |         |         
host200                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host201                  | No (not consuming)            | DUMMY_ORG31                                       |                             |         |         
host202                  | Yes (consuming)               | DUMMY_ORG05                                       | 2026-02-19                  | 1       |         
host203                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host204                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host205                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host206                  | No (not consuming)            | DUMMY_ORG22                                       |                             |         |         
host207                  | No (not consuming)            | DUMMY_ORG01                                       |                             |         |         
host208                  | Yes (consuming)               | DUMMY_ORG29                                       | 2026-02-19                  | 1       |         
host209                  | No (not consuming)            | DUMMY_ORG06                                       |                             |         |         
host21                   | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host210                  | Yes (consuming)               | DUMMY_ORG02                                       | 2026-02-19                  | 1       |         
host211                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host212                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host213                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host214                  | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host215                  | No (not consuming)            | DUMMY_ORG22                                       |                             |         |         
host216                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host217                  | Yes (consuming)               | DUMMY_ORG13                                       | 2026-02-19                  | 1       |         
host218                  | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host219                  | Yes (consuming)               | DUMMY_ORG12                                       | 2026-02-19                  | 1       |         
host22                   | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host220                  | Yes (consuming)               | DUMMY_ORG37                                       | 2026-02-19                  | 1       |         
host221                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host222                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host223                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host224                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host225                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host226                  | No (not consuming)            | DUMMY_ORG36                                       |                             |         |         
host227                  | No (not consuming)            | DUMMY_ORG35                                       |                             |         |         
host228                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host229                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host23                   | Yes (consuming)               | DUMMY_ORG04                                       | 2026-02-19                  | 1       |         
host230                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host231                  | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host232                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host233                  | No (not consuming)            | DUMMY_ORG14                                       |                             |         |         
host234                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host235                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host236                  | Yes (consuming)               | DUMMY_ORG03                                       | 2026-02-19                  | 1       |         
host237                  | No (not consuming)            | DUMMY_ORG22                                       |                             |         |         
host238                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host239                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host24                   | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host240                  | No (not consuming)            | DUMMY_ORG13                                       |                             |         |         
host241                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host242                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host243                  | No (not consuming)            | DUMMY_ORG27                                       |                             |         |         
host244                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host245                  | Yes (consuming)               | DUMMY_ORG03                                       | 2026-02-19                  | 1       |         
host246                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host247                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host248                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host249                  | No (not consuming)            | DUMMY_ORG37                                       |                             |         |         
host25                   | Yes (consuming)               | DUMMY_ORG02                                       | 2026-02-19                  | 1       |         
host250                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host251                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host252                  | Yes (consuming)               | DUMMY_ORG13                                       | 2026-02-19                  | 1       |         
host253                  | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host254                  | No (not consuming)            | DUMMY_ORG06                                       |                             |         |         
