Ansible Automation Platform - Execution Environment Metrics Report
Generated: 2026-03-11T19:57:24Z
AAP Instance: https://aap.example.com

Name,Created By,Created,Modified By,Last Modified,Organization,Last Used By Job
"Control Plane Execution Environment","",2025-10-02T14:26:34.239269Z,"",2026-03-06T21:37:40.485105Z,"",None
"Default execution environment","",2025-10-02T14:26:34.188471Z,"",2026-03-06T21:37:40.465308Z,"",2026-02-06T21:09:57.830598Z
"ee-supported-rhel9:latest","lshirley",2025-12-17T21:45:16.409076Z,"lshirley",2025-12-17T21:45:16.409106Z,"DEMOLab",2025-12-17T22:00:31.055688Z
"Minimal execution environment","",2025-10-02T14:26:34.104249Z,"",2026-03-06T21:37:40.420924Z,"",None
"Quay - lshirley - ansible-automation-platform-24 - ee-casc-rhel8","admin",2025-10-09T18:03:20.907964Z,"admin",2025-10-09T18:03:20.908001Z,"DEMOLab",None
"Quay - lshirley - ansible-automation-platform-24 - ee-casc-rhel9","admin",2025-10-09T18:03:21.132591Z,"admin",2025-10-09T18:03:21.132622Z,"DEMOLab",None
"Quay - lshirley - ansible-automation-platform-25 - ee-casc-rhel8","admin",2025-10-09T18:03:21.441471Z,"admin",2025-10-09T18:03:21.441529Z,"DEMOLab",None
"Quay - lshirley - ansible-automation-platform-25 - ee-casc-rhel9","admin",2025-10-09T18:03:25.803690Z,"admin",2025-10-09T18:03:25.803712Z,"DEMOLab",None
"Quay - lshirley - ansible-automation-platform-26 - ee-casc-rhel8","admin",2025-10-09T18:03:21.193133Z,"admin",2025-10-09T18:03:21.193160Z,"DEMOLab",None
"Quay - lshirley - ansible-automation-platform-26 - ee-casc-rhel9","admin",2025-10-09T18:03:21.505006Z,"admin",2025-10-09T18:03:21.505049Z,"DEMOLab",None
"Quay - lshirley - ee-xorriso-rhel9","admin",2025-10-09T18:03:21.052152Z,"admin",2025-10-09T18:03:21.052181Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-24 - ee-minimal-rhel8","admin",2025-10-14T17:11:54.453656Z,"admin",2025-10-14T17:11:54.453704Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-24 - ee-minimal-rhel9","admin",2025-10-14T17:11:54.607822Z,"admin",2025-10-14T17:11:54.607845Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-24 - ee-supported-rhel8","admin",2025-10-14T17:11:54.117119Z,"admin",2025-10-14T17:11:54.117135Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-24 - ee-supported-rhel9","admin",2025-10-14T17:11:54.119098Z,"admin",2025-10-14T17:11:54.119114Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-25 - ee-minimal-rhel8","admin",2025-10-14T17:11:54.748007Z,"admin",2025-10-14T17:11:54.748036Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-25 - ee-minimal-rhel9","admin",2025-10-14T17:11:54.971544Z,"admin",2025-10-14T17:11:54.971575Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-25 - ee-supported-rhel8","admin",2025-10-14T17:11:54.016050Z,"admin",2025-10-14T17:11:54.016163Z,"DEMOLab",2025-12-17T21:40:48.980967Z
"Red Hat - ansible-automation-platform-25 - ee-supported-rhel9","admin",2025-10-14T17:11:53.935059Z,"admin",2025-10-14T17:11:53.935120Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-26 - ee-minimal-rhel9","admin",2025-10-14T17:11:55.116867Z,"admin",2025-10-14T17:11:55.116895Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-26 - ee-supported-rhel9","admin",2025-10-14T17:11:54.351057Z,"admin",2025-10-14T17:11:54.351086Z,"DEMOLab",None
"Red Hat - ansible-automation-platform-tech-preview - ee-minimal-rhel9","lshirley",2026-01-15T16:55:08.628899Z,"lshirley",2026-01-15T17:09:13.303497Z,"",2026-03-11T18:51:23.075818Z
